Age,Education,Edu_num,Occupation,Race,Gender,Hours_per_week,Country,Income
37, Some-college,10, Craft-repair, White, Female,40, United-States, <=50K
28, Some-college,10, Machine-op-inspct, Black, Female,25, United-States, <=50K
30, HS-grad,9, Sales, Asian-Pac-Islander, Female,35, ?, <=50K
34, Bachelors,13, Protective-serv, White, Male,40, United-States, >50K
29, Some-college,10, Handlers-cleaners, White, Male,50, United-States, <=50K
48, Doctorate,16, Prof-specialty, White, Male,60, United-States, >50K
37, Some-college,10, Sales, White, Male,48, United-States, >50K
48, Assoc-acdm,12, Exec-managerial, White, Female,40, England, <=50K
32, HS-grad,9, Other-service, Black, Male,40, United-States, <=50K
76, Masters,14, Exec-managerial, White, Male,40, United-States, >50K
44, Bachelors,13, Exec-managerial, White, Male,60, United-States, >50K
47, Masters,14, Prof-specialty, White, Female,50, United-States, <=50K
20, Some-college,10, Tech-support, White, Female,40, United-States, <=50K
29, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
32, HS-grad,9, Craft-repair, White, Male,40, United-States, >50K
17, 10th,6, ?, White, Female,32, United-States, <=50K
30, 11th,7, Handlers-cleaners, White, Male,40, United-States, <=50K
31, HS-grad,9, Adm-clerical, White, Female,40, United-States, <=50K
42, HS-grad,9, Handlers-cleaners, White, Male,40, United-States, <=50K
24, Bachelors,13, Sales, White, Male,40, United-States, <=50K
38, Prof-school,15, Prof-specialty, White, Male,40, United-States, >50K
56, HS-grad,9, Other-service, White, Male,50, Canada, >50K
28, Some-college,10, Sales, White, Female,25, United-States, <=50K
36, HS-grad,9, Machine-op-inspct, White, Female,40, United-States, <=50K
53, 9th,5, Handlers-cleaners, White, Male,50, United-States, <=50K
56, Some-college,10, Sales, White, Male,50, United-States, <=50K
49, Assoc-voc,11, Craft-repair, Black, Male,40, United-States, >50K
55, Some-college,10, Sales, White, Male,56, United-States, <=50K
22, HS-grad,9, Craft-repair, White, Male,41, United-States, <=50K
21, Some-college,10, Other-service, White, Female,40, United-States, <=50K
40, Bachelors,13, Exec-managerial, White, Male,60, United-States, <=50K
30, Bachelors,13, Exec-managerial, Black, Male,40, Germany, <=50K
29, Bachelors,13, Prof-specialty, White, Male,50, United-States, >50K
19, Some-college,10, Other-service, Black, Male,35, United-States, <=50K
47, Bachelors,13, Exec-managerial, White, Female,40, United-States, >50K
20, Some-college,10, Adm-clerical, White, Female,28, United-States, <=50K
31, Assoc-acdm,12, Adm-clerical, White, Male,40, United-States, >50K
35, HS-grad,9, ?, White, Male,40, United-States, <=50K
39, Some-college,10, Craft-repair, White, Male,40, United-States, <=50K
28, Assoc-acdm,12, Sales, White, Female,60, United-States, <=50K
24, HS-grad,9, Other-service, White, Female,40, United-States, <=50K
38, HS-grad,9, Craft-repair, White, Male,35, United-States, <=50K
37, Bachelors,13, Sales, White, Male,50, United-States, <=50K
46, Assoc-acdm,12, Tech-support, Black, Female,36, United-States, <=50K
38, Masters,14, Prof-specialty, White, Male,40, Iran, >50K
43, HS-grad,9, Craft-repair, White, Male,60, United-States, <=50K
27, Assoc-voc,11, Adm-clerical, White, Female,35, United-States, <=50K
20, Some-college,10, Sales, White, Male,20, United-States, <=50K
49, Some-college,10, Craft-repair, Asian-Pac-Islander, Male,40, United-States, >50K
61, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
27, Some-college,10, Sales, White, Female,40, United-States, <=50K
19, Some-college,10, Other-service, White, Male,30, Mexico, <=50K
45, Assoc-voc,11, Prof-specialty, White, Female,40, United-States, >50K
70, Some-college,10, Tech-support, White, Male,40, United-States, <=50K
31, HS-grad,9, Transport-moving, Black, Female,30, United-States, <=50K
22, Some-college,10, Other-service, White, Male,24, United-States, <=50K
36, HS-grad,9, Other-service, White, Female,24, United-States, <=50K
64, 11th,7, Craft-repair, White, Male,40, United-States, <=50K
43, Some-college,10, ?, White, Female,40, United-States, <=50K
47, Some-college,10, Adm-clerical, White, Female,38, Mexico, <=50K
34, HS-grad,9, Adm-clerical, White, Female,40, United-States, <=50K
33, Bachelors,13, Exec-managerial, Asian-Pac-Islander, Female,40, Philippines, <=50K
21, HS-grad,9, Craft-repair, White, Male,35, United-States, <=50K
52, HS-grad,9, ?, White, Male,45, United-States, >50K
48, HS-grad,9, Craft-repair, White, Male,46, United-States, <=50K
23, Bachelors,13, Handlers-cleaners, White, Male,40, United-States, <=50K
71, Some-college,10, Sales, Black, Male,2, United-States, <=50K
29, HS-grad,9, Craft-repair, White, Male,60, United-States, <=50K
42, Bachelors,13, Other-service, Black, Male,50, United-States, <=50K
68, 1st-4th,2, ?, White, Female,20, United-States, <=50K
25, HS-grad,9, Other-service, White, Female,40, United-States, <=50K
44, Masters,14, Exec-managerial, Asian-Pac-Islander, Female,40, United-States, <=50K
28, HS-grad,9, Exec-managerial, Asian-Pac-Islander, Female,40, England, <=50K
45, Masters,14, Sales, White, Male,40, United-States, >50K
36, Some-college,10, Other-service, White, Female,40, Mexico, <=50K
39, Assoc-acdm,12, Exec-managerial, White, Male,42, United-States, <=50K
46, Masters,14, Protective-serv, White, Male,40, United-States, <=50K
18, 11th,7, Handlers-cleaners, White, Male,16, United-States, <=50K
66, Assoc-voc,11, Prof-specialty, White, Female,20, United-States, <=50K
27, HS-grad,9, Other-service, White, Male,40, United-States, <=50K
28, HS-grad,9, Protective-serv, White, Male,40, United-States, <=50K
51, Some-college,10, Sales, White, Male,40, United-States, >50K
27, Bachelors,13, Craft-repair, White, Male,50, United-States, <=50K
28, Bachelors,13, Prof-specialty, White, Male,40, United-States, >50K
27, HS-grad,9, Sales, White, Female,25, United-States, <=50K
21, HS-grad,9, Craft-repair, Black, Male,40, United-States, <=50K
34, HS-grad,9, Handlers-cleaners, Black, Male,40, United-States, <=50K
18, HS-grad,9, Other-service, White, Male,12, United-States, <=50K
33, Bachelors,13, Prof-specialty, White, Male,65, United-States, <=50K
44, Some-college,10, Exec-managerial, Black, Male,38, United-States, >50K
43, Some-college,10, Adm-clerical, White, Female,40, United-States, <=50K
30, Some-college,10, Craft-repair, Black, Male,45, United-States, <=50K
40, 7th-8th,4, Machine-op-inspct, White, Male,40, Mexico, >50K
37, Some-college,10, Adm-clerical, White, Male,42, United-States, >50K
34, HS-grad,9, Adm-clerical, Black, Male,40, United-States, <=50K
41, Bachelors,13, Exec-managerial, White, Female,40, United-States, <=50K
53, Bachelors,13, ?, White, Female,50, United-States, <=50K
31, Masters,14, Prof-specialty, White, Female,50, United-States, <=50K
58, Doctorate,16, Prof-specialty, White, Male,1, United-States, >50K
38, Some-college,10, Machine-op-inspct, Black, Female,28, United-States, <=50K
24, Some-college,10, Machine-op-inspct, White, Male,40, United-States, <=50K
41, Bachelors,13, Craft-repair, Black, Male,40, United-States, <=50K
47, Some-college,10, Tech-support, White, Male,45, United-States, <=50K
41, Bachelors,13, Tech-support, White, Male,24, United-States, <=50K
23, 5th-6th,3, Transport-moving, White, Male,40, Mexico, <=50K
36, Some-college,10, Craft-repair, White, Male,40, United-States, <=50K
40, Masters,14, Exec-managerial, White, Female,55, United-States, >50K
35, Masters,14, Prof-specialty, White, Male,40, United-States, >50K
24, HS-grad,9, Sales, White, Male,40, United-States, <=50K
26, Masters,14, Prof-specialty, White, Female,40, United-States, <=50K
19, HS-grad,9, ?, White, Male,40, Italy, <=50K
51, Bachelors,13, Exec-managerial, White, Male,50, United-States, >50K
42, Some-college,10, Prof-specialty, White, Female,40, United-States, <=50K
37, HS-grad,9, Adm-clerical, White, Female,35, United-States, <=50K
18, 11th,7, Sales, White, Female,40, United-States, <=50K
36, Bachelors,13, Other-service, Black, Male,36, United-States, >50K
35, HS-grad,9, Craft-repair, White, Male,60, United-States, <=50K
58, HS-grad,9, Sales, White, Female,35, United-States, >50K
17, 11th,7, Sales, White, Female,12, United-States, <=50K
44, HS-grad,9, Transport-moving, Black, Male,40, United-States, <=50K
37, HS-grad,9, Craft-repair, White, Male,40, United-States, >50K
35, Some-college,10, Sales, Amer-Indian-Eskimo, Female,40, United-States, <=50K
60, HS-grad,9, Craft-repair, Asian-Pac-Islander, Male,40, United-States, <=50K
54, 7th-8th,4, Machine-op-inspct, White, Male,40, United-States, >50K
37, Bachelors,13, Exec-managerial, Black, Male,60, United-States, >50K
50, Assoc-acdm,12, Sales, White, Female,40, United-States, <=50K
38, Bachelors,13, Sales, White, Male,50, Poland, <=50K
45, Bachelors,13, Prof-specialty, White, Male,55, United-States, <=50K
25, 10th,6, Craft-repair, White, Male,40, United-States, <=50K
31, Some-college,10, Handlers-cleaners, White, Male,40, United-States, <=50K
64, 1st-4th,2, ?, White, Male,40, United-States, <=50K
90, HS-grad,9, Other-service, Black, Male,40, United-States, <=50K
54, HS-grad,9, Adm-clerical, Black, Male,20, United-States, <=50K
53, Preschool,1, Machine-op-inspct, White, Female,35, United-States, <=50K
18, HS-grad,9, Sales, White, Female,40, United-States, <=50K
60, 10th,6, ?, Amer-Indian-Eskimo, Female,10, United-States, <=50K
66, HS-grad,9, Farming-fishing, White, Male,50, United-States, <=50K
75, Assoc-voc,11, Adm-clerical, White, Female,20, Columbia, <=50K
65, HS-grad,9, Adm-clerical, White, Female,40, United-States, <=50K
35, 11th,7, Transport-moving, Black, Male,40, United-States, <=50K
41, HS-grad,9, Sales, Black, Female,38, United-States, <=50K
25, Some-college,10, Adm-clerical, White, Male,42, United-States, <=50K
33, Some-college,10, Craft-repair, Other, Female,40, United-States, <=50K
28, Prof-school,15, Prof-specialty, White, Male,55, United-States, >50K
59, HS-grad,9, Other-service, White, Male,40, United-States, <=50K
40, Some-college,10, Adm-clerical, White, Female,38, United-States, <=50K
41, Bachelors,13, Exec-managerial, White, Male,50, Iran, >50K
38, Masters,14, Exec-managerial, White, Male,70, United-States, >50K
23, HS-grad,9, Transport-moving, White, Male,40, United-States, <=50K
40, Bachelors,13, Prof-specialty, White, Male,40, United-States, >50K
41, HS-grad,9, Other-service, White, Female,20, United-States, <=50K
24, Assoc-acdm,12, Protective-serv, White, Male,50, United-States, <=50K
20, Some-college,10, ?, White, Male,20, United-States, <=50K
38, Some-college,10, Craft-repair, White, Male,40, United-States, <=50K
56, HS-grad,9, Adm-clerical, White, Male,35, ?, <=50K
58, HS-grad,9, Adm-clerical, White, Male,45, United-States, >50K
32, HS-grad,9, Other-service, White, Female,34, United-States, <=50K
40, Assoc-acdm,12, Tech-support, White, Male,60, United-States, >50K
45, HS-grad,9, Adm-clerical, White, Male,40, ?, <=50K
41, Prof-school,15, Prof-specialty, White, Female,40, United-States, >50K
42, Bachelors,13, Adm-clerical, Black, Female,40, United-States, <=50K
59, 10th,6, Other-service, Black, Female,30, United-States, <=50K
19, Some-college,10, Adm-clerical, White, Male,40, United-States, <=50K
58, Some-college,10, Transport-moving, White, Male,20, United-States, <=50K
42, HS-grad,9, Farming-fishing, Asian-Pac-Islander, Male,40, Cambodia, >50K
20, HS-grad,9, Other-service, White, Female,40, United-States, <=50K
32, HS-grad,9, Other-service, White, Female,30, United-States, <=50K
45, Assoc-voc,11, Exec-managerial, White, Female,45, United-States, <=50K
50, 7th-8th,4, Craft-repair, White, Male,40, United-States, <=50K
36, Bachelors,13, Prof-specialty, White, Female,40, United-States, <=50K
45, HS-grad,9, Sales, White, Male,60, United-States, <=50K
17, 11th,7, Other-service, White, Male,12, United-States, <=50K
59, Some-college,10, Sales, White, Male,40, United-States, <=50K
26, 11th,7, Craft-repair, White, Male,40, United-States, <=50K
37, Some-college,10, Exec-managerial, Asian-Pac-Islander, Male,75, Thailand, >50K
19, Some-college,10, ?, White, Male,24, Canada, <=50K
64, HS-grad,9, Exec-managerial, White, Male,40, United-States, >50K
33, Bachelors,13, Prof-specialty, White, Female,45, United-States, <=50K
33, HS-grad,9, Craft-repair, White, Female,40, United-States, >50K
61, HS-grad,9, Exec-managerial, White, Male,40, United-States, >50K
17, 9th,5, Other-service, White, Male,24, United-States, <=50K
50, Masters,14, Farming-fishing, White, Male,98, United-States, <=50K
27, Masters,14, Prof-specialty, White, Male,35, United-States, <=50K
30, HS-grad,9, Prof-specialty, White, Female,40, United-States, <=50K
43, HS-grad,9, Handlers-cleaners, Black, Male,40, United-States, <=50K
44, Some-college,10, Craft-repair, White, Male,40, United-States, >50K
35, Some-college,10, Exec-managerial, White, Female,40, United-States, <=50K
25, Some-college,10, Tech-support, White, Female,40, United-States, <=50K
24, Some-college,10, Machine-op-inspct, White, Female,48, United-States, >50K
22, Bachelors,13, Prof-specialty, White, Female,15, Germany, <=50K
42, Some-college,10, Craft-repair, White, Male,40, United-States, >50K
34, Assoc-acdm,12, Sales, Black, Female,45, United-States, <=50K
60, Bachelors,13, Prof-specialty, White, Female,42, United-States, <=50K
21, HS-grad,9, Handlers-cleaners, White, Male,40, United-States, <=50K
57, Masters,14, Sales, White, Male,40, United-States, >50K
41, Prof-school,15, Prof-specialty, White, Male,60, United-States, >50K
50, Some-college,10, Other-service, White, Male,45, United-States, <=50K
25, Bachelors,13, Exec-managerial, White, Female,40, United-States, <=50K
50, 7th-8th,4, Craft-repair, White, Male,40, Ecuador, <=50K
36, Bachelors,13, Prof-specialty, White, Male,45, United-States, <=50K
31, HS-grad,9, Prof-specialty, White, Female,40, United-States, <=50K
29, Bachelors,13, Protective-serv, White, Male,56, United-States, <=50K
21, Some-college,10, Sales, White, Male,45, United-States, <=50K
27, Bachelors,13, Tech-support, Black, Female,40, United-States, <=50K
65, HS-grad,9, Transport-moving, White, Male,16, United-States, <=50K
37, Bachelors,13, Sales, White, Female,60, United-States, <=50K
39, Masters,14, ?, Asian-Pac-Islander, Female,40, ?, <=50K
24, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
38, HS-grad,9, Sales, White, Male,80, United-States, <=50K
48, Bachelors,13, Adm-clerical, White, Male,40, United-States, >50K
21, Some-college,10, Other-service, Asian-Pac-Islander, Female,25, United-States, <=50K
31, HS-grad,9, Transport-moving, White, Male,45, United-States, >50K
55, HS-grad,9, Sales, White, Male,40, United-States, >50K
24, Some-college,10, Adm-clerical, Asian-Pac-Islander, Female,40, Laos, <=50K
43, HS-grad,9, Adm-clerical, White, Female,40, United-States, <=50K
26, Assoc-acdm,12, Tech-support, White, Male,45, United-States, <=50K
46, Assoc-acdm,12, Prof-specialty, White, Female,33, United-States, <=50K
35, Assoc-acdm,12, Adm-clerical, White, Male,40, United-States, >50K
41, Some-college,10, Farming-fishing, White, Male,54, United-States, >50K
26, Bachelors,13, Sales, White, Male,40, United-States, <=50K
34, Masters,14, Exec-managerial, Asian-Pac-Islander, Male,35, Taiwan, >50K
19, Some-college,10, ?, Black, Female,25, United-States, <=50K
36, Bachelors,13, Prof-specialty, Black, Female,40, United-States, >50K
22, Some-college,10, Sales, White, Male,15, United-States, <=50K
24, Some-college,10, Machine-op-inspct, White, Male,40, United-States, <=50K
77, Some-college,10, Sales, White, Male,40, United-States, <=50K
22, 5th-6th,3, Machine-op-inspct, White, Female,40, Mexico, <=50K
29, Some-college,10, Tech-support, White, Female,40, United-States, <=50K
62, HS-grad,9, Other-service, White, Female,24, United-States, <=50K
39, HS-grad,9, Exec-managerial, White, Male,40, United-States, <=50K
43, Some-college,10, Craft-repair, White, Male,50, United-States, <=50K
35, HS-grad,9, Transport-moving, White, Male,45, United-States, <=50K
29, 11th,7, Exec-managerial, White, Female,40, United-States, <=50K
76, Masters,14, Craft-repair, White, Male,10, United-States, <=50K
63, HS-grad,9, Farming-fishing, White, Male,45, United-States, <=50K
23, Assoc-voc,11, ?, Black, Female,15, United-States, <=50K
43, Some-college,10, Prof-specialty, White, Female,50, United-States, >50K
58, HS-grad,9, Handlers-cleaners, White, Male,40, United-States, <=50K
66, HS-grad,9, Transport-moving, White, Male,55, United-States, <=50K
41, Some-college,10, Craft-repair, Black, Male,45, United-States, <=50K
26, Bachelors,13, Adm-clerical, White, Male,40, United-States, <=50K
47, Assoc-voc,11, Other-service, White, Male,40, United-States, <=50K
55, 10th,6, Adm-clerical, White, Male,40, United-States, <=50K
53, HS-grad,9, Transport-moving, White, Male,40, United-States, <=50K
17, 5th-6th,3, Other-service, White, Male,48, Mexico, <=50K
30, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
49, Masters,14, Prof-specialty, White, Male,60, United-States, <=50K
19, HS-grad,9, Sales, Black, Male,30, Haiti, <=50K
45, HS-grad,9, Other-service, Black, Male,40, United-States, <=50K
26, Assoc-acdm,12, Sales, White, Male,40, United-States, <=50K
38, Assoc-voc,11, Craft-repair, White, Male,40, United-States, >50K
36, HS-grad,9, Protective-serv, White, Male,40, United-States, >50K
33, HS-grad,9, Farming-fishing, White, Male,20, United-States, <=50K
22, Some-college,10, Protective-serv, Black, Female,40, United-States, <=50K
43, Bachelors,13, Sales, White, Male,42, United-States, <=50K
67, 11th,7, ?, White, Male,8, United-States, <=50K
30, Assoc-voc,11, ?, White, Female,40, United-States, <=50K
56, Assoc-acdm,12, Other-service, White, Male,25, Iran, <=50K
31, Bachelors,13, Prof-specialty, White, Male,25, United-States, <=50K
33, Bachelors,13, Exec-managerial, White, Male,40, United-States, >50K
26, HS-grad,9, Other-service, White, Male,40, United-States, <=50K
33, Bachelors,13, Exec-managerial, White, Male,40, United-States, >50K
46, 11th,7, Transport-moving, White, Male,30, United-States, <=50K
59, Bachelors,13, ?, White, Male,40, United-States, >50K
38, HS-grad,9, Adm-clerical, White, Male,40, United-States, >50K
65, 11th,7, Other-service, Other, Male,40, United-States, <=50K
40, Assoc-voc,11, Tech-support, White, Male,40, United-States, >50K
42, HS-grad,9, Adm-clerical, White, Female,35, United-States, <=50K
26, 9th,5, Craft-repair, White, Male,40, Portugal, <=50K
36, 10th,6, Other-service, White, Female,24, United-States, <=50K
62, Masters,14, Prof-specialty, White, Male,40, United-States, >50K
43, Bachelors,13, Transport-moving, White, Male,45, United-States, <=50K
43, Bachelors,13, Exec-managerial, White, Male,45, United-States, >50K
22, HS-grad,9, Sales, White, Male,55, United-States, <=50K
28, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
56, Some-college,10, Sales, White, Male,45, United-States, <=50K
22, Assoc-acdm,12, Sales, White, Female,15, United-States, <=50K
57, Bachelors,13, Exec-managerial, White, Female,45, United-States, >50K
39, HS-grad,9, Sales, White, Female,40, United-States, <=50K
26, Some-college,10, Adm-clerical, White, Female,15, United-States, <=50K
17, 11th,7, Other-service, White, Male,10, United-States, <=50K
40, Assoc-voc,11, Machine-op-inspct, White, Male,38, United-States, >50K
45, HS-grad,9, Machine-op-inspct, Black, Male,40, United-States, <=50K
44, HS-grad,9, Craft-repair, Black, Male,40, United-States, <=50K
20, Some-college,10, Adm-clerical, White, Female,10, United-States, <=50K
33, HS-grad,9, Craft-repair, White, Female,40, United-States, <=50K
23, Some-college,10, Sales, White, Male,40, United-States, <=50K
46, Masters,14, Exec-managerial, White, Male,30, United-States, <=50K
38, HS-grad,9, Sales, White, Male,50, United-States, <=50K
54, HS-grad,9, Transport-moving, White, Male,40, United-States, <=50K
46, 5th-6th,3, Craft-repair, White, Female,45, United-States, <=50K
25, Some-college,10, Craft-repair, White, Male,40, United-States, <=50K
46, Some-college,10, Sales, White, Female,40, United-States, <=50K
36, Some-college,10, Transport-moving, White, Female,40, United-States, <=50K
23, HS-grad,9, Other-service, White, Female,25, United-States, <=50K
29, HS-grad,9, Machine-op-inspct, White, Male,40, United-States, <=50K
44, Some-college,10, Adm-clerical, White, Female,6, United-States, >50K
19, Some-college,10, Adm-clerical, White, Female,16, United-States, <=50K
19, HS-grad,9, Other-service, White, Female,40, United-States, <=50K
35, HS-grad,9, Other-service, White, Female,40, United-States, >50K
27, Bachelors,13, Craft-repair, White, Male,50, United-States, <=50K
46, Assoc-acdm,12, Craft-repair, White, Male,40, United-States, <=50K
34, Bachelors,13, Exec-managerial, White, Male,45, ?, >50K
34, HS-grad,9, Other-service, White, Female,35, United-States, <=50K
44, Some-college,10, Tech-support, White, Male,40, United-States, <=50K
45, Some-college,10, Handlers-cleaners, White, Female,40, United-States, <=50K
20, HS-grad,9, ?, White, Female,35, United-States, <=50K
25, Bachelors,13, Exec-managerial, White, Male,55, United-States, >50K
52, Bachelors,13, Exec-managerial, White, Male,50, United-States, >50K
20, Some-college,10, Handlers-cleaners, White, Male,40, United-States, <=50K
28, Some-college,10, Other-service, White, Female,40, United-States, <=50K
50, Bachelors,13, Protective-serv, White, Male,40, United-States, >50K
34, Assoc-voc,11, Tech-support, White, Female,64, United-States, <=50K
28, 7th-8th,4, Handlers-cleaners, Other, Male,40, Puerto-Rico, <=50K
41, Masters,14, Exec-managerial, White, Male,65, United-States, >50K
28, HS-grad,9, Adm-clerical, White, Male,40, United-States, <=50K
46, HS-grad,9, Craft-repair, White, Male,25, United-States, <=50K
28, Some-college,10, ?, White, Female,40, United-States, >50K
32, Some-college,10, Exec-managerial, White, Male,50, United-States, <=50K
41, Some-college,10, Other-service, Black, Female,24, United-States, <=50K
24, HS-grad,9, Handlers-cleaners, Black, Female,40, United-States, <=50K
33, Some-college,10, Exec-managerial, White, Female,40, United-States, <=50K
46, Doctorate,16, Exec-managerial, White, Male,60, United-States, >50K
31, Some-college,10, Machine-op-inspct, White, Male,40, United-States, <=50K
35, 12th,8, Craft-repair, White, Male,50, United-States, >50K
52, 1st-4th,2, Machine-op-inspct, White, Male,40, Mexico, <=50K
30, 11th,7, Other-service, White, Female,19, United-States, <=50K
34, 11th,7, Machine-op-inspct, Black, Male,40, United-States, <=50K
34, HS-grad,9, Transport-moving, White, Female,40, United-States, <=50K
20, Some-college,10, Sales, White, Male,30, United-States, <=50K
17, 11th,7, Handlers-cleaners, White, Male,18, United-States, <=50K
32, Bachelors,13, Exec-managerial, White, Female,40, United-States, >50K
29, HS-grad,9, Farming-fishing, White, Male,40, United-States, <=50K
